id,word,language
1,अकराम्हशी,marathi
2,अकराम्हशीचा,marathi
3,अकराम्हशीच्या,marathi
4,आंद्या,marathi
5,आंद्याचा,marathi
6,आंद्याच्या,marathi
7,आंद्यात,marathi
8,आईघाला,marathi
9,आईघाल्,marathi
10,आईघाल्या,marathi
11,आईघाल्याचा,marathi
12,आईजवाडा,marathi
13,आईजवाडाचा,marathi
14,आईझव,marathi
15,आईझवली,marathi
16,आईझवलीचा,marathi
17,आईझवाडा,marathi
18,आईझवाडाचा,marathi
19,कँडल,marathi
20,कँडलचा,marathi
21,कँडलच्या,marathi
22,कृतघ्न,marathi
23,गांड,marathi
24,गांडचा,marathi
25,गांडच्या,marathi
26,गांडीचा,marathi
27,गांडीत,marathi
28,गांडू,marathi
29,गांडूचा,marathi
30,गांडूच्या,marathi
31,गांडूत,marathi
32,गाढव,marathi
33,गाढवागांडुळ,marathi
34,गोट्या,marathi
35,गोट्याचा,marathi
36,गोट्याच्या,marathi
37,गोट्यात,marathi
38,चावट,marathi
39,चीनाल,marathi
40,चीनालचा,marathi
41,चीनालच्या,marathi
42,चुत,marathi
43,चुतचा,marathi
44,चुतच्या,marathi
45,चुतत,marathi
46,चुतमारीचा,marathi
47,चुतमारीच्या,marathi
48,चुतमारीच्यात,marathi
49,छिनाल,marathi
50,छिनालचा,marathi
51,छिनालच्या,marathi
52,झवली,marathi
53,झवलीचा,marathi
54,झवलीत,marathi
55,झवाड्या,marathi
56,झवाड्याचा,marathi
57,झवाड्याच्या,marathi
58,झाटू,marathi
59,झाटूचा,marathi
60,झाटूच्या,marathi
61,झाटूत,marathi
62,नालायकच्यायला,marathi
63,पागलगुदा,marathi
64,पुच्ची,marathi
65,पुच्चीचा,marathi
66,पुच्चीच्या,marathi
67,पुच्चीत,marathi
68,फोकणीच्या,marathi
69,फोकणीच्याचा,marathi
70,फोकणीच्यात,marathi
71,फोद्री,marathi
72,फोद्रीचा,marathi
73,फोद्रीच्या,marathi
74,फोद्रीच्यात,marathi
75,फोद्रीत,marathi
76,बावळट,marathi
77,बावळटच्या,marathi
78,बावळटत,marathi
79,बुडाला,marathi
80,बुल्ली,marathi
81,बुल्लीचा,marathi
82,बुल्लीत,marathi
83,बेअक्कल,marathi
84,बेशरम,marathi
85,बोचा,marathi
86,बोचाच्या,marathi
87,बोचात,marathi
88,बोच्याबुल्लीच्या,marathi
89,भडवा,marathi
90,भडविच्याभिकारचोट,marathi
91,भडव्या,marathi
92,भडव्यात,marathi
93,भुंड्,marathi
94,भुंड्त,marathi
95,भुंड्यात,marathi
96,भुंड्यातत,marathi
97,भोक,marathi
98,भोकचा,marathi
99,भोकत,marathi
100,भोकाच्या,marathi
101,भोसडा,marathi
102,भोसडाचा,marathi
103,भोसडात,marathi
104,भोसडीच्या,marathi
105,भोसडीच्यात,marathi
106,मंद,marathi
107,माईचा,marathi
108,माईचात,marathi
109,माईच्या,marathi
110,मादरचोद,marathi
111,मारीच्या,marathi
112,मारीच्यात,marathi
113,मुठ्ठया,marathi
114,मुठ्ठयाचा,marathi
115,मुठ्ठयात,marathi
116,मूर्ख,marathi
117,रंडी,marathi
118,रंडीचा,marathi
119,रंडीच्या,marathi
120,रंडीच्यात,marathi
121,रंडीत,marathi
122,रांड,marathi
123,रांडचा,marathi
124,रांडच्या,marathi
125,रांडीच्या,marathi
126,रांडीच्यात,marathi
127,लवड्या,marathi
128,लवड्याचा,marathi
129,लवड्याच्या,marathi
130,लवड्यात,marathi
131,साला,marathi
132,हरामखोर,marathi
133,हलकट,marathi
134,आंड़,hindi
135,आंड,hindi
136,आँड,hindi
137,बहनचोद,hindi
138,बेहेनचोद,hindi
139,भेनचोद,hindi
140,बकचोद,hindi
141,बकचोदी,hindi
142,बेवड़ा,hindi
143,बेवड़े,hindi
144,बेवकूफ,hindi
145,भड़ुआ,hindi
146,भड़वा,hindi
147,भोसड़ा,hindi
148,भोसड़ीके,hindi
149,भोसड़ीकी,hindi
150,भोसड़ीवाला,hindi
151,भोसड़ीवाले,hindi
152,भोसरचोदल,hindi
153,भोसदचोद,hindi
154,भोसड़ाचोदल,hindi
155,भोसड़ाचोद,hindi
156,बब्बे,hindi
157,बूबे,hindi
158,बुर,hindi
159,चरसी,hindi
160,चूचे,hindi
161,चूची,hindi
162,चुची,hindi
163,चोद,hindi
164,चुदने,hindi
165,चुदवा,hindi
166,चुदवाने,hindi
167,चूत,hindi
168,चूतिया,hindi
169,चुटिया,hindi
170,चूतिये,hindi
171,चुत्तड़,hindi
172,चूत्तड़,hindi
173,दलाल,hindi
174,दलले,hindi
175,फट्टू,hindi
176,गधा,hindi
177,गधे,hindi
178,गधालंड,hindi
179,गांड,hindi
180,गांडू,hindi
181,गंडफट,hindi
182,गंडिया,hindi
183,गंडिये,hindi
184,गू,hindi
185,गोटे,hindi
186,हग,hindi
187,हग्गू,hindi
188,हगने,hindi
189,हरामी,hindi
190,हरामजादा,hindi
191,हरामज़ादा,hindi
192,हरामजादे,hindi
193,हरामज़ादे,hindi
194,हरामखोर,hindi
195,झाट,hindi
196,झाटू,hindi
197,कुत्ता,hindi
198,कुत्ते,hindi
199,कुतिया,hindi
200,कुत्ती,hindi
201,लेंडी,hindi
202,लोड़े,hindi
203,लौड़े,hindi
204,लौड़ा,hindi
205,लोड़ा,hindi
206,लौडा,hindi
207,लिंग,hindi
208,लोडा,hindi
209,लोडे,hindi
210,लंड,hindi
211,लौंडा,hindi
212,लौंडे,hindi
213,लौंडी,hindi
214,लौंडिया,hindi
215,लुल्ली,hindi
216,मार,hindi
217,मारो,hindi
218,मारूंगा,hindi
219,मादरचोद,hindi
220,मादरचूत,hindi
221,मादरचुत,hindi
222,मम्मे,hindi
223,मूत,hindi
224,मुत,hindi
225,मूतने,hindi
226,मुतने,hindi
227,मूठ,hindi
228,मुठ,hindi
229,नुननी,hindi
230,नुननु,hindi
231,पाजी,hindi
232,पेसाब,hindi
233,पेशाब,hindi
234,पिल्ला,hindi
235,पिल्ले,hindi
236,पिसाब,hindi
237,,hindi
238,पोरकिस्तान,hindi
239,रांड,hindi
240,रंडी,hindi
241,सुअर,hindi
242,सूअर,hindi
243,टट्टे,hindi
244,टट्टी,hindi
245,उल्लू,hindi
