id,word,language
1,आंड़,hindi
2,आंड,hindi
3,आँड,hindi
4,बहनचोद,hindi
5,बेहेनचोद,hindi
6,भेनचोद,hindi
7,बकचोद,hindi
8,बकचोदी,hindi
9,बेवड़ा,hindi
10,बेवड़े,hindi
11,बेवकूफ,hindi
12,भड़ुआ,hindi
13,भड़वा,hindi
14,भोसड़ा,hindi
15,भोसड़ीके,hindi
16,भोसड़ीकी,hindi
17,भोसड़ीवाला,hindi
18,भोसड़ीवाले,hindi
19,भोसरचोदल,hindi
20,भोसदचोद,hindi
21,भोसड़ाचोदल,hindi
22,भोसड़ाचोद,hindi
23,बब्बे,hindi
24,बूबे,hindi
25,बुर,hindi
26,चरसी,hindi
27,चूचे,hindi
28,चूची,hindi
29,चुची,hindi
30,चोद,hindi
31,चुदने,hindi
32,चुदवा,hindi
33,चुदवाने,hindi
34,चूत,hindi
35,चूतिया,hindi
36,चुटिया,hindi
37,चूतिये,hindi
38,चुत्तड़,hindi
39,चूत्तड़,hindi
40,दलाल,hindi
41,दलले,hindi
42,फट्टू,hindi
43,गधा,hindi
44,गधे,hindi
45,गधालंड,hindi
46,गांड,hindi
47,गांडू,hindi
48,गंडफट,hindi
49,गंडिया,hindi
50,गंडिये,hindi
51,गू,hindi
52,गोटे,hindi
53,हग,hindi
54,हग्गू,hindi
55,हगने,hindi
56,हरामी,hindi
57,हरामजादा,hindi
58,हरामज़ादा,hindi
59,हरामजादे,hindi
60,हरामज़ादे,hindi
61,हरामखोर,hindi
62,झाट,hindi
63,झाटू,hindi
64,कुत्ता,hindi
65,कुत्ते,hindi
66,कुतिया,hindi
67,कुत्ती,hindi
68,लेंडी,hindi
69,लोड़े,hindi
70,लौड़े,hindi
71,लौड़ा,hindi
72,लोड़ा,hindi
73,लौडा,hindi
74,लिंग,hindi
75,लोडा,hindi
76,लोडे,hindi
77,लंड,hindi
78,लौंडा,hindi
79,लौंडे,hindi
80,लौंडी,hindi
81,लौंडिया,hindi
82,लुल्ली,hindi
83,मार,hindi
84,मारो,hindi
85,मारूंगा,hindi
86,मादरचोद,hindi
87,मादरचूत,hindi
88,मादरचुत,hindi
89,मम्मे,hindi
90,मूत,hindi
91,मुत,hindi
92,मूतने,hindi
93,मुतने,hindi
94,मूठ,hindi
95,मुठ,hindi
96,नुननी,hindi
97,नुननु,hindi
98,पाजी,hindi
99,पेसाब,hindi
100,पेशाब,hindi
101,पिल्ला,hindi
102,पिल्ले,hindi
103,पिसाब,hindi
104,,hindi
105,पोरकिस्तान,hindi
106,रांड,hindi
107,रंडी,hindi
108,सुअर,hindi
109,सूअर,hindi
110,टट्टे,hindi
111,टट्टी,hindi
112,उल्लू,hindi
113,अकराम्हशी,marathi
114,अकराम्हशीचा,marathi
115,अकराम्हशीच्या,marathi
116,आंद्या,marathi
117,आंद्याचा,marathi
118,आंद्याच्या,marathi
119,आंद्यात,marathi
120,आईघाला,marathi
121,आईघाल्,marathi
122,आईघाल्या,marathi
123,आईघाल्याचा,marathi
124,आईजवाडा,marathi
125,आईजवाडाचा,marathi
126,आईझव,marathi
127,आईझवली,marathi
128,आईझवलीचा,marathi
129,आईझवाडा,marathi
130,आईझवाडाचा,marathi
131,कँडल,marathi
132,कँडलचा,marathi
133,कँडलच्या,marathi
134,कृतघ्न,marathi
135,गांडचा,marathi
136,गांडच्या,marathi
137,गांडीचा,marathi
138,गांडीत,marathi
139,गांडूचा,marathi
140,गांडूच्या,marathi
141,गांडूत,marathi
142,गाढव,marathi
143,गाढवागांडुळ,marathi
144,गोट्या,marathi
145,गोट्याचा,marathi
146,गोट्याच्या,marathi
147,गोट्यात,marathi
148,चावट,marathi
149,चीनाल,marathi
150,चीनालचा,marathi
151,चीनालच्या,marathi
152,चुत,marathi
153,चुतचा,marathi
154,चुतच्या,marathi
155,चुतत,marathi
156,चुतमारीचा,marathi
157,चुतमारीच्या,marathi
158,चुतमारीच्यात,marathi
159,छिनाल,marathi
160,छिनालचा,marathi
161,छिनालच्या,marathi
162,झवली,marathi
163,झवलीचा,marathi
164,झवलीत,marathi
165,झवाड्या,marathi
166,झवाड्याचा,marathi
167,झवाड्याच्या,marathi
168,झाटूचा,marathi
169,झाटूच्या,marathi
170,झाटूत,marathi
171,नालायकच्यायला,marathi
172,पागलगुदा,marathi
173,पुच्ची,marathi
174,पुच्चीचा,marathi
175,पुच्चीच्या,marathi
176,पुच्चीत,marathi
177,फोकणीच्या,marathi
178,फोकणीच्याचा,marathi
179,फोकणीच्यात,marathi
180,फोद्री,marathi
181,फोद्रीचा,marathi
182,फोद्रीच्या,marathi
183,फोद्रीच्यात,marathi
184,फोद्रीत,marathi
185,बावळट,marathi
186,बावळटच्या,marathi
187,बावळटत,marathi
188,बुडाला,marathi
